track_id,lat,lon,valid_time,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km,prob_cyclone_exists,lead_time,init_time,member
2024279N21265,23.01495933532715,273.0887756347656,2024-10-08 18:00:00,940.2177243638678,123.25686402944646,33.062718333446476,197.85774030862797,240.74810491677738,178.26950842723224,172.0164543206835,133.02495539566556,135.29919729729556,119.88094930142246,121.83923989642209,88.73508290446301,88.34547707247417,71.52290234855109,79.79472745587977,0.00010879645821233192,1 days 18:00:00,2024-10-07,2
2024279N21265,23.884431838989258,274.1869201660156,2024-10-09 00:00:00,917.4708137116295,147.07310762917865,9.277571176221272,227.3073497050218,239.14924716012362,194.91252214592004,202.47429345731018,121.27934006480973,124.13657509038143,109.08630420834085,112.19684380687701,82.9491350340926,75.31780418039465,68.97755643842498,72.16044712129974,0.00013091904514990913,2 days 00:00:00,2024-10-07,2
2024279N21265,24.62025260925293,274.6406555175781,2024-10-09 06:00:00,933.1207452310962,130.04405716926368,52.16758525266623,290.66384364470287,301.6019436497848,262.85963829668566,256.71341983836817,153.87411796097715,154.97870739997663,136.82913320466724,141.06593244556746,92.83220537518433,87.89184778995413,77.17621835971374,81.82293595522324,0.00011028966001708851,2 days 06:00:00,2024-10-07,2
2024279N21265,26.138473510742188,275.84796142578125,2024-10-09 12:00:00,935.2157042810588,125.42918179093802,14.016652196344662,262.88183060643814,255.96473941880055,185.98076353389723,213.97286287277092,140.3788108940463,133.9534553854119,109.06202925142695,123.38041931990826,80.78930554106014,75.66441507678576,62.04431104604359,70.9600633284586,0.00011322770574528288,2 days 12:00:00,2024-10-07,2
2024279N21265,27.815839767456055,276.0954895019531,2024-10-09 18:00:00,945.1341963699151,112.62114296094992,37.90385799185084,261.02028192664255,259.79427079032246,210.56969693123492,227.75098859554498,142.1914694847531,137.28690936866866,116.2348137147338,126.64534868982764,81.0400409337226,75.98964036921662,64.83830487187609,70.88943164514353,0.00011031219757656765,2 days 18:00:00,2024-10-07,2
2024279N21265,28.473590850830078,277.1023864746094,2024-10-10 00:00:00,956.0907765871198,93.28615287965296,30.621159781498836,233.44580221811654,229.42060203900175,147.26288282217172,176.47169695650166,93.25633624992808,85.06899500492031,61.59322774124254,75.06138777570142,41.3790229617192,39.67931894079828,29.790329884115085,36.09688996335727,0.00012856011123512086,3 days 00:00:00,2024-10-07,2
2024279N21265,29.694904327392578,277.83782958984375,2024-10-10 06:00:00,955.1087032399184,93.72729437784409,52.34882182073905,275.5197343463183,276.66224091048804,239.25787482743706,231.9224693941748,143.94057826991707,145.54828096134412,123.13681491855866,126.8131387841037,71.82188354137305,70.49532125081194,58.84077800355366,62.80345649665257,9.638758021196858e-05,3 days 06:00:00,2024-10-07,2
2024279N21265,30.0111083984375,279.443359375,2024-10-10 12:00:00,984.1478224640159,58.47112664894121,82.16342518649253,218.18562067485254,227.92160023027463,169.69564155578337,166.50945537238658,82.16342518649253,71.53291481692031,52.07904019989985,56.529950499010056,0.0,0.0,0.0,0.0,0.00011417579625842906,3 days 12:00:00,2024-10-07,2
2024279N21265,30.161849975585938,281.3840637207031,2024-10-10 18:00:00,984.6127298085995,59.38145236746294,75.18406350189315,134.31791472456746,161.16981967955934,127.1758320803471,101.91314415420823,75.18406350189315,42.86745845310922,27.45537835710842,30.37622034880625,0.0,0.0,0.0,0.0,9.654099588534295e-05,3 days 18:00:00,2024-10-07,2
2024279N21265,30.652124404907227,283.83502197265625,2024-10-11 00:00:00,987.0410691226984,64.8254450615378,41.58301842003554,282.75299278410915,280.7014284443585,225.39200478218353,239.3080148180049,147.72060794647663,144.18240807851436,115.97390664308327,123.98118680597389,52.64429298155753,52.331136727805486,42.301269480226615,44.257013227288155,0.00014374254510114218,4 days 00:00:00,2024-10-07,2
2024279N21265,30.585176467895508,286.7974853515625,2024-10-11 06:00:00,987.0852011765488,56.58079366035719,131.49619342369135,160.65065532055297,166.7064954740686,134.76534027664812,133.55620037075298,0.9547100995938308,131.49619342369135,0.3855866107937165,0.1293870579976717,0.0,0.0,0.0,0.0,8.930716061352181e-05,4 days 06:00:00,2024-10-07,2
2024279N21265,29.66391372680664,289.0117492675781,2024-10-11 12:00:00,993.195430249279,47.02266901297912,74.5288022070805,76.73929354603256,81.71831411326563,76.92943235947692,61.40206399551092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5978253384038095e-05,4 days 12:00:00,2024-10-07,2
2024279N21265,30.93075942993164,293.2058410644531,2024-10-11 18:00:00,991.1042117415856,43.484935394340575,115.06650954887418,174.6619217782615,180.69679292862028,144.84691084953727,141.12730293972734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014516342739560127,4 days 18:00:00,2024-10-07,2
2024279N21265,32.12495040893555,296.8723449707031,2024-10-12 00:00:00,996.9191564873238,40.519430636841065,155.97808855891424,6.410881481823823,155.97808855891424,3.2674302838373395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.787012254240276e-05,5 days 00:00:00,2024-10-07,2
