member,valid_time,lead_h,track_err_km,slp_pred,slp_obs,wind_pred_kt,wind_obs_kt,slp_err,wind_err_kt
2,2024-10-09 06:00:00,54,106.42006000846153,933.1207452310962,909.0,130.04405716926368,140.0,24.12074523109618,-9.95594283073632
2,2024-10-09 12:00:00,60,142.30123494348294,935.2157042810588,919.0,125.42918179093802,135.0,16.215704281058834,-9.570818209061983
2,2024-10-09 18:00:00,66,168.81877305701408,945.1341963699151,945.0,112.62114296094992,115.0,0.13419636991511652,-2.378857039050075
2,2024-10-10 00:00:00,72,131.9347476914977,956.0907765871198,956.0,93.28615287965296,105.0,0.09077658711976255,-11.71384712034704
2,2024-10-10 06:00:00,78,196.2012992598144,955.1087032399184,975.0,93.72729437784409,70.0,-19.89129676008156,23.72729437784409
2,2024-10-10 12:00:00,84,151.97383504352217,984.1478224640159,983.0,58.47112664894121,65.0,1.147822464015917,-6.528873351058792
2,2024-10-10 18:00:00,90,130.39613076877146,984.6127298085995,984.0,59.38145236746294,60.0,0.6127298085995108,-0.6185476325370587
2,2024-10-11 00:00:00,96,170.2274844864932,987.0410691226984,986.0,64.8254450615378,60.0,1.0410691226984454,4.825445061537806
2,2024-10-11 06:00:00,102,143.27253000787775,987.0852011765488,993.0,56.58079366035719,55.0,-5.914798823451179,1.5807936603571875
2,2024-10-11 12:00:00,108,164.26750036734964,993.195430249279,997.0,47.02266901297912,55.0,-3.8045697507210434,-7.977330987020878
2,2024-10-11 18:00:00,114,200.69180330600867,991.1042117415856,999.0,43.484935394340575,50.0,-7.895788258414427,-6.5150646056594255
3,2024-10-07 00:00:00,0,0.0,981.0,981.0,75.0,75.0,0.0,0.0
3,2024-10-07 06:00:00,6,22.015494749613264,976.3321566527511,972.0,84.23678110621553,90.0,4.3321566527511095,-5.763218893784469
3,2024-10-07 12:00:00,12,16.164364313276934,970.7127596231337,943.0,86.69019106564924,120.0,27.712759623133707,-33.309808934350755
3,2024-10-07 18:00:00,18,32.433840285006575,942.8104326484176,908.0,120.19114009567751,150.0,34.810432648417645,-29.80885990432249
3,2024-10-08 00:00:00,24,13.813920497541917,935.7408305800789,902.0,124.15726673748078,145.0,33.740830580078864,-20.842733262519218
3,2024-10-08 06:00:00,30,32.45276858841672,919.6017675239325,925.0,150.98238149501822,125.0,-5.398232476067506,25.982381495018217
3,2024-10-08 12:00:00,36,46.61940478068591,943.5400771658313,929.0,126.14081162290888,125.0,14.540077165831349,1.1408116229088847
3,2024-10-08 18:00:00,42,103.23092697565451,968.5533459728101,916.0,84.11778696302771,140.0,52.55334597281012,-55.88221303697229
3,2024-10-09 00:00:00,48,134.29947996977768,957.1781666730335,908.0,106.30616062934982,140.0,49.1781666730335,-33.69383937065018
3,2024-10-09 06:00:00,54,96.20484097750789,935.4142666351385,909.0,132.30891854124135,140.0,26.41426663513846,-7.691081458758646
3,2024-10-09 12:00:00,60,116.85620322055064,944.9220083211726,919.0,113.26529175621724,135.0,25.922008321172598,-21.734708243782762
3,2024-10-09 18:00:00,66,150.6857835210272,964.8347173977024,945.0,91.48175930359413,115.0,19.834717397702434,-23.51824069640587
3,2024-10-10 00:00:00,72,127.03000001585158,988.0290149555938,956.0,53.13183096634155,105.0,32.029014955593766,-51.86816903365845
3,2024-10-10 06:00:00,78,196.29186001748744,975.7935540135404,975.0,73.239173784652,70.0,0.7935540135404153,3.239173784651996
3,2024-10-10 12:00:00,84,77.94825201619697,981.4119133683755,983.0,71.19898998009037,65.0,-1.588086631624492,6.198989980090374
3,2024-10-10 18:00:00,90,98.37693462966446,979.6716971730817,984.0,69.24722896536112,60.0,-4.328302826918275,9.247228965361117
3,2024-10-11 00:00:00,96,111.11962220383892,984.0303914941147,986.0,65.4543042118975,60.0,-1.969608505885276,5.454304211897494
3,2024-10-11 06:00:00,102,99.40610677584903,985.5952163730674,993.0,52.54822829589307,55.0,-7.404783626932613,-2.451771704106932
3,2024-10-11 12:00:00,108,45.47538405175496,984.6738776560356,997.0,67.45227677689083,55.0,-12.326122343964357,12.452276776890827
3,2024-10-11 18:00:00,114,139.97651274275043,992.5900958016471,999.0,52.74063231232533,50.0,-6.409904198352933,2.7406323123253316
4,2024-10-07 00:00:00,0,0.0,981.0,981.0,75.0,75.0,0.0,0.0
4,2024-10-07 06:00:00,6,21.118205910654996,962.1179507020202,972.0,104.50396273106469,90.0,-9.882049297979847,14.50396273106469
4,2024-10-07 12:00:00,12,29.23693242209606,944.4140701899607,943.0,116.80464281917389,120.0,1.4140701899607393,-3.1953571808261074
4,2024-10-07 18:00:00,18,93.41132638973147,962.2161210411941,908.0,96.04986585621617,150.0,54.21612104119413,-53.95013414378383
4,2024-10-08 00:00:00,24,38.56964053962513,953.7847441824382,902.0,103.11130768468827,145.0,51.7847441824382,-41.88869231531173
4,2024-10-08 06:00:00,30,6.903269592015758,971.4235722858184,925.0,83.81853570964668,125.0,46.42357228581841,-41.18146429035332
4,2024-10-08 12:00:00,36,62.48593052495633,936.7940017373257,929.0,123.7504848671785,125.0,7.794001737325743,-1.2495151328215002
4,2024-10-08 18:00:00,42,111.15970204932694,925.7973988426714,916.0,144.75341989336982,140.0,9.797398842671441,4.7534198933698235
4,2024-10-09 00:00:00,48,124.20064908858637,921.018950026706,908.0,137.72830319105765,140.0,13.018950026705966,-2.2716968089423517
